"PK","SK","adr_city","adr_prefecture","birth_date","certs","email","first_name","last_name","phone_no"
"job#求人テスト001","application#大和46@gmail.com","港 美咲区","沖縄県","1995-07-30","[{""S"":""理学療法士""},{""S"":""初任者研修""},{""S"":""正看護師""},{""S"":""言語聴覚士""},{""S"":""准看護師""},{""S"":""保育士""},{""S"":""幼稚園教諭""},{""S"":""無資格""}]","大和46@gmail.com","颯太","斎藤","047-749-7614"
"job#求人テスト001","application#大和_田中54@hotmail.com","港 莉子村","埼玉県","1981-07-04","[{""S"":""介護福祉士""},{""S"":""ケアマネージャー""},{""S"":""無資格""},{""S"":""理学療法士""},{""S"":""言語聴覚士""},{""S"":""保育士""},{""S"":""正看護師""},{""S"":""准看護師""},{""S"":""実務者研修""},{""S"":""作業療法士""}]","大和_田中54@hotmail.com","海翔","鈴木","098-277-9757"
"job#求人テスト001","application#大翔.鈴木94@yahoo.com","Pittsburg","富山県","1982-03-30","[{""S"":""初任者研修""},{""S"":""無資格""},{""S"":""作業療法士""},{""S"":""その他""},{""S"":""介護福祉士""},{""S"":""正看護師""},{""S"":""ケアマネージャー""},{""S"":""幼稚園教諭""},{""S"":""実務者研修""},{""S"":""保育士""},{""S"":""理学療法士""}]","大翔.鈴木94@yahoo.com","莉子","林","03452-6-3445"
"job#求人テスト001","application#太一33@yahoo.com","大翔市","愛知県","1996-12-25","[{""S"":""介護福祉士""},{""S"":""言語聴覚士""},{""S"":""幼稚園教諭""},{""S"":""ケアマネージャー""},{""S"":""初任者研修""},{""S"":""その他""},{""S"":""実務者研修""},{""S"":""理学療法士""},{""S"":""無資格""}]","太一33@yahoo.com","愛菜","木村","04383-4-2157"
"job#求人テスト001","application#太一_加藤@gmail.com","東 陽翔","岩手県","1992-03-14","[{""S"":""無資格""},{""S"":""実務者研修""},{""S"":""介護福祉士""},{""S"":""准看護師""},{""S"":""ケアマネージャー""},{""S"":""その他""}]","太一_加藤@gmail.com","大和","井上","005-405-5559"
"job#求人テスト001","application#心愛.山田52@gmail.com","斎藤区","埼玉県","1953-03-01","[{""S"":""初任者研修""},{""S"":""理学療法士""},{""S"":""准看護師""},{""S"":""その他""},{""S"":""正看護師""},{""S"":""作業療法士""},{""S"":""実務者研修""},{""S"":""ケアマネージャー""}]","心愛.山田52@gmail.com","陸斗","伊藤","04-1804-6763"
"job#求人テスト001","application#心愛43@hotmail.com","蓮町","兵庫県","1954-10-11","[{""S"":""無資格""},{""S"":""正看護師""},{""S"":""その他""},{""S"":""幼稚園教諭""},{""S"":""実務者研修""},{""S"":""作業療法士""},{""S"":""保育士""}]","心愛43@hotmail.com","蒼空","渡辺","0455-41-3114"
"job#求人テスト001","application#心愛63@hotmail.com","南 陽菜","大分県","1990-05-28","[{""S"":""無資格""},{""S"":""正看護師""},{""S"":""その他""},{""S"":""言語聴覚士""},{""S"":""実務者研修""},{""S"":""ケアマネージャー""},{""S"":""作業療法士""},{""S"":""幼稚園教諭""},{""S"":""保育士""}]","心愛63@hotmail.com","大翔","吉田","08126-3-8206"
"job#求人テスト001","application#心愛_吉田43@yahoo.com","東 美咲村","山梨県","1987-12-17","[{""S"":""実務者研修""},{""S"":""ケアマネージャー""},{""S"":""保育士""},{""S"":""理学療法士""},{""S"":""介護福祉士""},{""S"":""作業療法士""},{""S"":""准看護師""},{""S"":""言語聴覚士""}]","心愛_吉田43@yahoo.com","心愛","山口","047-660-3006"
"job#求人テスト001","application#愛菜.木村@yahoo.com","北 愛菜区","千葉県","1989-04-26","[{""S"":""理学療法士""},{""S"":""保育士""},{""S"":""その他""},{""S"":""言語聴覚士""},{""S"":""准看護師""},{""S"":""介護福祉士""},{""S"":""ケアマネージャー""},{""S"":""作業療法士""},{""S"":""初任者研修""},{""S"":""幼稚園教諭""}]","愛菜.木村@yahoo.com","結愛","吉田","0081-45-6668"
"job#求人テスト001","application#杏.渡辺@yahoo.com","陽翔区","愛媛県","1955-04-04","[{""S"":""ケアマネージャー""},{""S"":""初任者研修""},{""S"":""実務者研修""},{""S"":""言語聴覚士""},{""S"":""作業療法士""},{""S"":""無資格""},{""S"":""正看護師""},{""S"":""理学療法士""}]","杏.渡辺@yahoo.com","海翔","吉田","04-7466-0323"
"job#求人テスト001","application#杏89@hotmail.com","莉子区","埼玉県","1988-07-29","[{""S"":""言語聴覚士""},{""S"":""作業療法士""},{""S"":""保育士""},{""S"":""正看護師""},{""S"":""幼稚園教諭""},{""S"":""無資格""},{""S"":""理学療法士""}]","杏89@hotmail.com","陽翔","佐々木","09-4193-7602"
"job#求人テスト001","application#海翔_木村68@yahoo.com","新 美羽市","群馬県","1995-01-20","[{""S"":""幼稚園教諭""},{""S"":""ケアマネージャー""},{""S"":""介護福祉士""},{""S"":""その他""},{""S"":""作業療法士""},{""S"":""保育士""},{""S"":""正看護師""},{""S"":""准看護師""}]","海翔_木村68@yahoo.com","陽菜","鈴木","095-424-9634"
"job#求人テスト001","application#海翔_田中@gmail.com","南 愛菜区","徳島県","1999-07-02","[{""S"":""理学療法士""},{""S"":""保育士""},{""S"":""無資格""},{""S"":""初任者研修""},{""S"":""言語聴覚士""},{""S"":""ケアマネージャー""},{""S"":""准看護師""},{""S"":""作業療法士""}]","海翔_田中@gmail.com","美羽","林","010-525-0536"
"job#求人テスト001","application#結愛.佐藤@gmail.com","美羽区","徳島県","1996-02-10","[{""S"":""理学療法士""},{""S"":""作業療法士""},{""S"":""無資格""},{""S"":""初任者研修""},{""S"":""保育士""},{""S"":""幼稚園教諭""},{""S"":""正看護師""},{""S"":""その他""}]","結愛.佐藤@gmail.com","翼","山田","04971-8-9803"
"job#求人テスト001","application#結愛82@gmail.com","新 莉子村","神奈川県","1954-03-27","[{""S"":""その他""},{""S"":""幼稚園教諭""},{""S"":""作業療法士""},{""S"":""正看護師""},{""S"":""保育士""},{""S"":""介護福祉士""},{""S"":""言語聴覚士""},{""S"":""理学療法士""},{""S"":""実務者研修""}]","結愛82@gmail.com","陽菜","佐々木","096-927-8902"
